Date_Time (LST/LDT), Event, Speed (knots)
1/1/17 1:21, slack,-
1/1/17 4:25, flood,2.4
1/1/17 8:08, slack,-
1/1/17 10:36, ebb,-1.5
1/1/17 15:03, slack,-
1/1/17 16:19, flood,0.4
1/1/17 18:02, slack,-
1/1/17 21:54, ebb,-2.1
1/2/17 2:03, slack,-
1/2/17 5:01, flood,2.3
1/2/17 8:38, slack,-
1/2/17 11:18, ebb,-1.6
1/2/17 15:51, slack,-
1/2/17 17:07, flood,0.4
1/2/17 18:56, slack,-
1/2/17 22:42, ebb,-1.9
1/3/17 2:39, slack,-
1/3/17 5:43, flood,2.1
1/3/17 9:14, slack,-
1/3/17 12:00, ebb,-1.7
1/3/17 16:39, slack,-
1/3/17 18:07, flood,0.5
1/3/17 20:02, slack,-
1/3/17 23:30, ebb,-1.6
1/4/17 3:27, slack,-
1/4/17 6:25, flood,1.9
1/4/17 9:50, slack,-
1/4/17 12:48, ebb,-1.8
1/4/17 17:27, slack,-
1/4/17 19:07, flood,0.6
1/4/17 21:20, slack,-
1/5/17 0:30, ebb,-1.4
1/5/17 4:21, slack,-
1/5/17 7:13, flood,1.7
1/5/17 10:26, slack,-
1/5/17 13:42, ebb,-2
1/5/17 18:21, slack,-
1/5/17 20:19, flood,0.8
1/5/17 22:56, slack,-
1/6/17 1:42, ebb,-1.2
1/6/17 5:21, slack,-
1/6/17 8:07, flood,1.4
1/6/17 11:08, slack,-
1/6/17 14:36, ebb,-2.1
1/6/17 19:15, slack,-
1/6/17 21:31, flood,1.2
1/7/17 0:32, slack,-
1/7/17 3:00, ebb,-1.1
1/7/17 6:39, slack,-
1/7/17 9:07, flood,1.2
1/7/17 11:50, slack,-
1/7/17 15:30, ebb,-2.3
1/7/17 20:03, slack,-
1/7/17 22:37, flood,1.7
1/8/17 2:02, slack,-
1/8/17 4:18, ebb,-1.1
1/8/17 7:57, slack,-
1/8/17 10:13, flood,1
1/8/17 12:38, slack,-
1/8/17 16:24, ebb,-2.5
1/8/17 20:51, slack,-
1/8/17 23:43, flood,2.1
1/9/17 3:14, slack,-
1/9/17 5:30, ebb,-1.2
1/9/17 9:09, slack,-
1/9/17 11:13, flood,1
1/9/17 13:32, slack,-
1/9/17 17:18, ebb,-2.7
1/9/17 21:39, slack,-
1/10/17 0:37, flood,2.5
1/10/17 4:20, slack,-
1/10/17 6:30, ebb,-1.4
1/10/17 10:15, slack,-
1/10/17 12:13, flood,1
1/10/17 14:26, slack,-
1/10/17 18:12, ebb,-2.9
1/10/17 22:27, slack,-
1/11/17 1:25, flood,2.9
1/11/17 5:08, slack,-
1/11/17 7:30, ebb,-1.6
1/11/17 11:15, slack,-
1/11/17 13:07, flood,1
1/11/17 15:20, slack,-
1/11/17 19:00, ebb,-2.9
1/11/17 23:15, slack,-
1/12/17 2:13, flood,3.1
1/12/17 5:56, slack,-
1/12/17 8:18, ebb,-1.7
1/12/17 12:09, slack,-
1/12/17 14:01, flood,1
1/12/17 16:14, slack,-
1/12/17 19:48, ebb,-2.9
1/12/17 23:57, slack,-
1/13/17 3:01, flood,3.1
1/13/17 6:44, slack,-
1/13/17 9:06, ebb,-1.8
1/13/17 13:03, slack,-
1/13/17 14:55, flood,1
1/13/17 17:08, slack,-
1/13/17 20:36, ebb,-2.7
1/14/17 0:45, slack,-
1/14/17 3:43, flood,3
1/14/17 7:26, slack,-
1/14/17 9:54, ebb,-1.9
1/14/17 13:57, slack,-
1/14/17 15:43, flood,1
1/14/17 17:56, slack,-
1/14/17 21:24, ebb,-2.5
1/15/17 1:27, slack,-
1/15/17 4:25, flood,2.8
1/15/17 8:02, slack,-
1/15/17 10:36, ebb,-1.9
1/15/17 14:45, slack,-
1/15/17 16:37, flood,0.9
1/15/17 18:50, slack,-
1/15/17 22:12, ebb,-2.2
1/16/17 2:09, slack,-
1/16/17 5:07, flood,2.5
1/16/17 8:38, slack,-
1/16/17 11:24, ebb,-1.9
1/16/17 15:45, slack,-
1/16/17 17:31, flood,0.8
1/16/17 19:44, slack,-
1/16/17 23:00, ebb,-1.9
1/17/17 2:57, slack,-
1/17/17 5:49, flood,2.1
1/17/17 9:14, slack,-
1/17/17 12:06, ebb,-1.9
1/17/17 16:39, slack,-
1/17/17 18:25, flood,0.7
1/17/17 20:44, slack,-
1/17/17 23:54, ebb,-1.5
1/18/17 3:45, slack,-
1/18/17 6:31, flood,1.7
1/18/17 9:44, slack,-
1/18/17 12:54, ebb,-1.9
1/18/17 17:39, slack,-
1/18/17 19:25, flood,0.7
1/18/17 21:50, slack,-
1/19/17 0:48, ebb,-1.2
1/19/17 4:33, slack,-
1/19/17 7:19, flood,1.3
1/19/17 10:20, slack,-
1/19/17 13:42, ebb,-1.9
1/19/17 18:33, slack,-
1/19/17 20:31, flood,0.8
1/19/17 23:14, slack,-
1/20/17 1:54, ebb,-0.9
1/20/17 5:39, slack,-
1/20/17 8:07, flood,1
1/20/17 10:56, slack,-
1/20/17 14:36, ebb,-1.9
1/20/17 19:27, slack,-
1/20/17 21:43, flood,0.9
1/21/17 0:44, slack,-
1/21/17 3:12, ebb,-0.8
1/21/17 6:51, slack,-
1/21/17 9:01, flood,0.7
1/21/17 11:32, slack,-
1/21/17 15:30, ebb,-1.9
1/21/17 20:15, slack,-
1/21/17 22:43, flood,1.2
1/22/17 2:02, slack,-
1/22/17 4:24, ebb,-0.8
1/22/17 8:09, slack,-
1/22/17 10:01, flood,0.5
1/22/17 12:14, slack,-
1/22/17 16:18, ebb,-2
1/22/17 20:57, slack,-
1/22/17 23:37, flood,1.4
1/23/17 3:08, slack,-
1/23/17 5:30, ebb,-0.9
1/23/17 9:21, slack,-
1/23/17 11:01, flood,0.5
1/23/17 12:56, slack,-
1/23/17 17:06, ebb,-2.1
1/23/17 21:33, slack,-
1/24/17 0:25, flood,1.7
1/24/17 4:02, slack,-
1/24/17 6:18, ebb,-1
1/24/17 10:21, slack,-
1/24/17 11:49, flood,0.4
1/24/17 13:44, slack,-
1/24/17 17:48, ebb,-2.2
1/24/17 22:09, slack,-
1/25/17 1:07, flood,2
1/25/17 4:44, slack,-
1/25/17 7:06, ebb,-1.2
1/25/17 11:09, slack,-
1/25/17 12:37, flood,0.5
1/25/17 14:32, slack,-
1/25/17 18:30, ebb,-2.2
1/25/17 22:45, slack,-
1/26/17 1:43, flood,2.2
1/26/17 5:20, slack,-
1/26/17 7:48, ebb,-1.3
1/26/17 11:51, slack,-
1/26/17 13:19, flood,0.5
1/26/17 15:14, slack,-
1/26/17 19:06, ebb,-2.3
1/26/17 23:21, slack,-
