Date_Time (LST/LDT), Event, Speed (knots)
1/1/17 0:02, slack,-
1/1/17 4:23, flood,0.8
1/1/17 8:05, slack,-
1/1/17 10:19, ebb,-0.2
1/1/17 13:50, slack,-
1/1/17 16:35, flood,0.2
1/1/17 18:29, slack,-
1/1/17 21:49, ebb,-0.3
1/2/17 0:44, slack,-
1/2/17 5:05, flood,0.8
1/2/17 8:41, slack,-
1/2/17 11:07, ebb,-0.2
1/2/17 14:44, slack,-
1/2/17 17:29, flood,0.2
1/2/17 19:29, slack,-
1/2/17 22:37, ebb,-0.2
1/3/17 1:26, slack,-
1/3/17 5:47, flood,0.7
1/3/17 9:23, slack,-
1/3/17 12:01, ebb,-0.3
1/3/17 15:32, slack,-
1/3/17 18:23, flood,0.3
1/3/17 20:35, slack,-
1/3/17 23:37, ebb,-0.2
1/4/17 2:20, slack,-
1/4/17 6:35, flood,0.6
1/4/17 10:05, slack,-
1/4/17 12:49, ebb,-0.3
1/4/17 16:20, slack,-
1/4/17 19:23, flood,0.3
1/4/17 22:11, slack,-
1/5/17 0:49, ebb,-0.2
1/5/17 3:20, slack,-
1/5/17 7:29, flood,0.6
1/5/17 10:47, slack,-
1/5/17 13:43, ebb,-0.3
1/5/17 17:14, slack,-
1/5/17 20:29, flood,0.4
1/5/17 23:53, slack,-
1/6/17 2:01, ebb,-0.2
1/6/17 4:32, slack,-
1/6/17 8:29, flood,0.5
1/6/17 11:35, slack,-
1/6/17 14:37, ebb,-0.3
1/6/17 18:08, slack,-
1/6/17 21:47, flood,0.5
1/7/17 1:17, slack,-
1/7/17 3:13, ebb,-0.2
1/7/17 5:56, slack,-
1/7/17 9:35, flood,0.4
1/7/17 12:23, slack,-
1/7/17 15:31, ebb,-0.4
1/7/17 18:56, slack,-
1/7/17 22:53, flood,0.7
1/8/17 2:29, slack,-
1/8/17 4:25, ebb,-0.2
1/8/17 7:14, slack,-
1/8/17 10:35, flood,0.4
1/8/17 13:11, slack,-
1/8/17 16:25, ebb,-0.4
1/8/17 19:50, slack,-
1/8/17 23:47, flood,0.8
1/9/17 3:29, slack,-
1/9/17 5:43, ebb,-0.2
1/9/17 8:26, slack,-
1/9/17 11:35, flood,0.4
1/9/17 13:59, slack,-
1/9/17 17:19, ebb,-0.4
1/9/17 20:38, slack,-
1/10/17 0:35, flood,0.9
1/10/17 4:23, slack,-
1/10/17 6:43, ebb,-0.2
1/10/17 9:26, slack,-
1/10/17 12:29, flood,0.4
1/10/17 14:53, slack,-
1/10/17 18:13, ebb,-0.4
1/10/17 21:20, slack,-
1/11/17 1:23, flood,1
1/11/17 5:17, slack,-
1/11/17 7:37, ebb,-0.3
1/11/17 10:26, slack,-
1/11/17 13:17, flood,0.4
1/11/17 15:41, slack,-
1/11/17 19:01, ebb,-0.4
1/11/17 22:08, slack,-
1/12/17 2:11, flood,1
1/12/17 5:59, slack,-
1/12/17 8:25, ebb,-0.3
1/12/17 11:14, slack,-
1/12/17 14:05, flood,0.4
1/12/17 16:29, slack,-
1/12/17 19:49, ebb,-0.4
1/12/17 22:50, slack,-
1/13/17 2:59, flood,1
1/13/17 6:47, slack,-
1/13/17 9:07, ebb,-0.3
1/13/17 12:02, slack,-
1/13/17 14:59, flood,0.4
1/13/17 17:23, slack,-
1/13/17 20:31, ebb,-0.4
1/13/17 23:38, slack,-
1/14/17 3:41, flood,0.9
1/14/17 7:29, slack,-
1/14/17 9:49, ebb,-0.3
1/14/17 12:56, slack,-
1/14/17 15:53, flood,0.3
1/14/17 18:17, slack,-
1/14/17 21:13, ebb,-0.3
1/15/17 0:20, slack,-
1/15/17 4:29, flood,0.8
1/15/17 8:05, slack,-
1/15/17 10:31, ebb,-0.3
1/15/17 13:50, slack,-
1/15/17 16:41, flood,0.3
1/15/17 19:11, slack,-
1/15/17 22:01, ebb,-0.3
1/16/17 1:02, slack,-
1/16/17 5:11, flood,0.7
1/16/17 8:47, slack,-
1/16/17 11:13, ebb,-0.3
1/16/17 14:44, slack,-
1/16/17 17:35, flood,0.3
1/16/17 20:05, slack,-
1/16/17 22:49, ebb,-0.2
1/17/17 1:50, slack,-
1/17/17 5:53, flood,0.6
1/17/17 9:23, slack,-
1/17/17 12:07, ebb,-0.3
1/17/17 15:32, slack,-
1/17/17 18:29, flood,0.3
1/17/17 21:17, slack,-
1/17/17 23:49, ebb,-0.2
1/18/17 2:38, slack,-
1/18/17 6:35, flood,0.5
1/18/17 9:59, slack,-
1/18/17 12:55, ebb,-0.2
1/18/17 16:26, slack,-
1/18/17 19:29, flood,0.3
1/18/17 22:41, slack,-
1/19/17 0:55, ebb,-0.1
1/19/17 3:32, slack,-
1/19/17 7:17, flood,0.4
1/19/17 10:41, slack,-
1/19/17 13:49, ebb,-0.3
1/19/17 17:14, slack,-
1/19/17 20:35, flood,0.3
1/20/17 0:17, slack,-
1/20/17 2:13, ebb,-0.1
1/20/17 4:38, slack,-
1/20/17 8:11, flood,0.3
1/20/17 11:23, slack,-
1/20/17 14:37, ebb,-0.3
1/20/17 18:08, slack,-
1/20/17 21:53, flood,0.4
1/21/17 1:29, slack,-
1/21/17 5:50, slack,-
1/21/17 9:11, flood,0.3
1/21/17 12:11, slack,-
1/21/17 15:25, ebb,-0.3
1/21/17 18:50, slack,-
1/21/17 22:53, flood,0.5
1/22/17 2:29, slack,-
1/22/17 4:37, ebb,-0.1
1/22/17 7:08, slack,-
1/22/17 10:17, flood,0.2
1/22/17 12:53, slack,-
1/22/17 16:07, ebb,-0.3
1/22/17 19:38, slack,-
1/22/17 23:41, flood,0.6
1/23/17 3:23, slack,-
1/23/17 5:43, ebb,-0.1
1/23/17 8:14, slack,-
1/23/17 11:11, flood,0.2
1/23/17 13:35, slack,-
1/23/17 16:49, ebb,-0.3
1/23/17 20:20, slack,-
1/24/17 0:17, flood,0.6
1/24/17 4:05, slack,-
1/24/17 6:31, ebb,-0.2
1/24/17 9:08, slack,-
1/24/17 11:59, flood,0.3
1/24/17 14:17, slack,-
1/24/17 17:37, ebb,-0.3
1/24/17 20:56, slack,-
1/25/17 0:53, flood,0.7
1/25/17 4:47, slack,-
1/25/17 7:13, ebb,-0.2
1/25/17 9:50, slack,-
1/25/17 12:35, flood,0.3
1/25/17 14:53, slack,-
1/25/17 18:19, ebb,-0.3
1/25/17 21:32, slack,-
1/26/17 1:29, flood,0.8
1/26/17 5:23, slack,-
1/26/17 7:37, ebb,-0.2
1/26/17 10:32, slack,-
1/26/17 13:17, flood,0.3
1/26/17 15:35, slack,-
1/26/17 18:55, ebb,-0.3
1/26/17 22:02, slack,-
1/27/17 1:59, flood,0.8
1/27/17 5:53, slack,-
1/27/17 8:07, ebb,-0.2
1/27/17 11:08, slack,-
1/27/17 13:59, flood,0.3
1/27/17 16:17, slack,-
1/27/17 19:37, ebb,-0.3
1/27/17 22:38, slack,-
1/28/17 2:41, flood,0.8
1/28/17 6:29, slack,-
1/28/17 8:43, ebb,-0.3
1/28/17 11:44, slack,-
1/28/17 14:41, flood,0.3
1/28/17 16:59, slack,-
1/28/17 20:13, ebb,-0.3
1/28/17 23:08, slack,-
1/29/17 3:17, flood,0.8
1/29/17 6:59, slack,-
1/29/17 9:13, ebb,-0.3
1/29/17 12:26, slack,-
1/29/17 15:23, flood,0.3
1/29/17 17:47, slack,-
1/29/17 20:49, ebb,-0.3
1/29/17 23:50, slack,-
1/30/17 3:59, flood,0.8
1/30/17 7:29, slack,-
1/30/17 9:49, ebb,-0.3
1/30/17 13:08, slack,-
1/30/17 16:17, flood,0.4
1/30/17 18:41, slack,-
1/30/17 21:31, ebb,-0.3
1/31/17 0:26, slack,-
1/31/17 4:41, flood,0.8
1/31/17 8:05, slack,-
1/31/17 10:31, ebb,-0.3
1/31/17 13:50, slack,-
1/31/17 17:05, flood,0.4
1/31/17 19:35, slack,-
1/31/17 22:19, ebb,-0.3
2/1/17 1:14, slack,-
2/1/17 5:23, flood,0.7
2/1/17 8:41, slack,-
2/1/17 11:19, ebb,-0.3
2/1/17 14:44, slack,-
2/1/17 17:59, flood,0.4
2/1/17 20:41, slack,-
2/1/17 23:19, ebb,-0.2
2/2/17 2:08, slack,-
2/2/17 6:11, flood,0.6
2/2/17 9:17, slack,-
2/2/17 12:13, ebb,-0.3
2/2/17 15:38, slack,-
2/2/17 18:53, flood,0.5
2/2/17 22:05, slack,-
2/3/17 0:31, ebb,-0.2
2/3/17 3:14, slack,-
2/3/17 6:59, flood,0.5
2/3/17 9:59, slack,-
2/3/17 13:07, ebb,-0.3
2/3/17 16:32, slack,-
2/3/17 20:05, flood,0.5
2/3/17 23:41, slack,-
2/4/17 1:49, ebb,-0.2
2/4/17 4:26, slack,-
2/4/17 7:59, flood,0.4
2/4/17 10:53, slack,-
2/4/17 14:07, ebb,-0.3
2/4/17 17:32, slack,-
2/4/17 21:17, flood,0.6
2/5/17 1:05, slack,-
2/5/17 3:07, ebb,-0.2
2/5/17 5:50, slack,-
2/5/17 9:11, flood,0.3
2/5/17 11:53, slack,-
2/5/17 15:07, ebb,-0.3
2/5/17 18:32, slack,-
2/5/17 22:35, flood,0.7
2/6/17 2:17, slack,-
2/6/17 4:25, ebb,-0.2
2/6/17 7:14, slack,-
2/6/17 10:23, flood,0.3
2/6/17 12:53, slack,-
2/6/17 16:07, ebb,-0.4
2/6/17 19:26, slack,-
2/6/17 23:35, flood,0.8
2/7/17 3:17, slack,-
2/7/17 5:37, ebb,-0.2
2/7/17 8:26, slack,-
2/7/17 11:29, flood,0.3
2/7/17 13:47, slack,-
2/7/17 17:01, ebb,-0.4
2/7/17 20:20, slack,-
2/8/17 0:23, flood,0.9
2/8/17 4:11, slack,-
2/8/17 6:37, ebb,-0.2
2/8/17 9:20, slack,-
2/8/17 12:23, flood,0.4
2/8/17 14:47, slack,-
2/8/17 18:01, ebb,-0.4
2/8/17 21:08, slack,-
2/9/17 1:11, flood,0.9
2/9/17 4:53, slack,-
2/9/17 7:25, ebb,-0.3
2/9/17 10:08, slack,-
2/9/17 13:11, flood,0.4
2/9/17 15:41, slack,-
2/9/17 18:49, ebb,-0.4
2/9/17 21:56, slack,-
2/10/17 1:53, flood,0.9
2/10/17 5:35, slack,-
