Date_Time (LST/LDT), Event, Speed (knots)
1/1/17 0:04, slack,-
1/1/17 2:57, flood,3.8
1/1/17 7:07, slack,-
1/1/17 10:06, ebb,-2.2
1/1/17 13:46, slack,-
1/1/17 14:51, flood,0.6
1/1/17 17:01, slack,-
1/1/17 21:24, ebb,-3
1/2/17 0:46, slack,-
1/2/17 3:33, flood,3.6
1/2/17 7:37, slack,-
1/2/17 10:48, ebb,-2.3
1/2/17 14:34, slack,-
1/2/17 15:39, flood,0.7
1/2/17 17:55, slack,-
1/2/17 22:12, ebb,-2.7
1/3/17 1:22, slack,-
1/3/17 4:15, flood,3.3
1/3/17 8:13, slack,-
1/3/17 11:30, ebb,-2.4
1/3/17 15:22, slack,-
1/3/17 16:39, flood,0.8
1/3/17 19:01, slack,-
1/3/17 23:00, ebb,-2.4
1/4/17 2:10, slack,-
1/4/17 4:57, flood,3
1/4/17 8:49, slack,-
1/4/17 12:18, ebb,-2.6
1/4/17 16:10, slack,-
1/4/17 17:39, flood,1
1/4/17 20:19, slack,-
1/5/17 0:00, ebb,-2
1/5/17 3:04, slack,-
1/5/17 5:45, flood,2.6
1/5/17 9:25, slack,-
1/5/17 13:12, ebb,-2.8
1/5/17 17:04, slack,-
1/5/17 18:51, flood,1.3
1/5/17 21:55, slack,-
1/6/17 1:12, ebb,-1.7
1/6/17 4:04, slack,-
1/6/17 6:39, flood,2.2
1/6/17 10:07, slack,-
1/6/17 14:06, ebb,-3.1
1/6/17 17:58, slack,-
1/6/17 20:03, flood,1.9
1/6/17 23:31, slack,-
1/7/17 2:30, ebb,-1.5
1/7/17 5:22, slack,-
1/7/17 7:39, flood,1.9
1/7/17 10:49, slack,-
1/7/17 15:00, ebb,-3.3
1/7/17 18:46, slack,-
1/7/17 21:09, flood,2.6
1/8/17 1:01, slack,-
1/8/17 3:48, ebb,-1.6
1/8/17 6:40, slack,-
1/8/17 8:45, flood,1.6
1/8/17 11:37, slack,-
1/8/17 15:54, ebb,-3.6
1/8/17 19:34, slack,-
1/8/17 22:15, flood,3.3
1/9/17 2:13, slack,-
1/9/17 5:00, ebb,-1.7
1/9/17 7:52, slack,-
1/9/17 9:45, flood,1.5
1/9/17 12:31, slack,-
1/9/17 16:48, ebb,-3.9
1/9/17 20:22, slack,-
1/9/17 23:09, flood,4
1/10/17 3:19, slack,-
1/10/17 6:00, ebb,-2
1/10/17 8:58, slack,-
1/10/17 10:45, flood,1.5
1/10/17 13:25, slack,-
1/10/17 17:42, ebb,-4.1
1/10/17 21:10, slack,-
1/10/17 23:57, flood,4.5
1/11/17 4:07, slack,-
1/11/17 7:00, ebb,-2.2
1/11/17 9:58, slack,-
1/11/17 11:39, flood,1.5
1/11/17 14:19, slack,-
1/11/17 18:30, ebb,-4.2
1/11/17 21:58, slack,-
1/12/17 0:45, flood,4.8
1/12/17 4:55, slack,-
1/12/17 7:48, ebb,-2.5
1/12/17 10:52, slack,-
1/12/17 12:33, flood,1.6
1/12/17 15:13, slack,-
1/12/17 19:18, ebb,-4.1
1/12/17 22:40, slack,-
1/13/17 1:33, flood,4.8
1/13/17 5:43, slack,-
1/13/17 8:36, ebb,-2.6
1/13/17 11:46, slack,-
1/13/17 13:27, flood,1.6
1/13/17 16:07, slack,-
1/13/17 20:06, ebb,-3.9
1/13/17 23:28, slack,-
1/14/17 2:15, flood,4.7
1/14/17 6:25, slack,-
1/14/17 9:24, ebb,-2.7
1/14/17 12:40, slack,-
1/14/17 14:15, flood,1.5
1/14/17 16:55, slack,-
1/14/17 20:54, ebb,-3.6
1/15/17 0:10, slack,-
1/15/17 2:57, flood,4.3
1/15/17 7:01, slack,-
1/15/17 10:06, ebb,-2.7
1/15/17 13:28, slack,-
1/15/17 15:09, flood,1.4
1/15/17 17:49, slack,-
1/15/17 21:42, ebb,-3.2
1/16/17 0:52, slack,-
1/16/17 3:39, flood,3.8
1/16/17 7:37, slack,-
1/16/17 10:54, ebb,-2.7
1/16/17 14:28, slack,-
1/16/17 16:03, flood,1.3
1/16/17 18:43, slack,-
1/16/17 22:30, ebb,-2.7
1/17/17 1:40, slack,-
1/17/17 4:21, flood,3.2
1/17/17 8:13, slack,-
1/17/17 11:36, ebb,-2.7
1/17/17 15:22, slack,-
1/17/17 16:57, flood,1.2
1/17/17 19:43, slack,-
1/17/17 23:24, ebb,-2.2
1/18/17 2:28, slack,-
1/18/17 5:03, flood,2.6
1/18/17 8:43, slack,-
1/18/17 12:24, ebb,-2.7
1/18/17 16:22, slack,-
1/18/17 17:57, flood,1.1
1/18/17 20:49, slack,-
1/19/17 0:18, ebb,-1.7
1/19/17 3:16, slack,-
1/19/17 5:51, flood,2
1/19/17 9:19, slack,-
1/19/17 13:12, ebb,-2.6
1/19/17 17:16, slack,-
1/19/17 19:03, flood,1.2
1/19/17 22:13, slack,-
1/20/17 1:24, ebb,-1.3
1/20/17 4:22, slack,-
1/20/17 6:39, flood,1.5
1/20/17 9:55, slack,-
1/20/17 14:06, ebb,-2.7
1/20/17 18:10, slack,-
1/20/17 20:15, flood,1.4
1/20/17 23:43, slack,-
1/21/17 2:42, ebb,-1.1
1/21/17 5:34, slack,-
1/21/17 7:33, flood,1.1
1/21/17 10:31, slack,-
1/21/17 15:00, ebb,-2.7
1/21/17 18:58, slack,-
1/21/17 21:15, flood,1.8
1/22/17 1:01, slack,-
1/22/17 3:54, ebb,-1.1
1/22/17 6:52, slack,-
1/22/17 8:33, flood,0.8
1/22/17 11:13, slack,-
1/22/17 15:48, ebb,-2.8
1/22/17 19:40, slack,-
1/22/17 22:09, flood,2.2
1/23/17 2:07, slack,-
1/23/17 5:00, ebb,-1.3
1/23/17 8:04, slack,-
1/23/17 9:33, flood,0.7
1/23/17 11:55, slack,-
1/23/17 16:36, ebb,-2.9
1/23/17 20:16, slack,-
1/23/17 22:57, flood,2.7
1/24/17 3:01, slack,-
1/24/17 5:48, ebb,-1.5
1/24/17 9:04, slack,-
1/24/17 10:21, flood,0.7
1/24/17 12:43, slack,-
1/24/17 17:18, ebb,-3.1
1/24/17 20:52, slack,-
1/24/17 23:39, flood,3.1
1/25/17 3:43, slack,-
1/25/17 6:36, ebb,-1.7
1/25/17 9:52, slack,-
1/25/17 11:09, flood,0.8
1/25/17 13:31, slack,-
1/25/17 18:00, ebb,-3.2
1/25/17 21:28, slack,-
1/26/17 0:15, flood,3.4
1/26/17 4:19, slack,-
1/26/17 7:18, ebb,-1.9
1/26/17 10:34, slack,-
1/26/17 11:51, flood,0.8
1/26/17 14:13, slack,-
1/26/17 18:36, ebb,-3.3
1/26/17 22:04, slack,-
1/27/17 0:51, flood,3.7
1/27/17 4:55, slack,-
1/27/17 7:54, ebb,-2.1
1/27/17 11:10, slack,-
1/27/17 12:33, flood,1
1/27/17 15:01, slack,-
1/27/17 19:12, ebb,-3.4
1/27/17 22:40, slack,-
1/28/17 1:27, flood,3.8
1/28/17 5:25, slack,-
1/28/17 8:24, ebb,-2.2
1/28/17 11:46, slack,-
1/28/17 13:15, flood,1.1
1/28/17 15:43, slack,-
1/28/17 19:54, ebb,-3.3
1/28/17 23:10, slack,-
1/29/17 1:57, flood,3.9
1/29/17 6:01, slack,-
1/29/17 9:00, ebb,-2.4
1/29/17 12:22, slack,-
1/29/17 13:57, flood,1.3
1/29/17 16:31, slack,-
1/29/17 20:30, ebb,-3.2
1/29/17 23:46, slack,-
1/30/17 2:33, flood,3.8
1/30/17 6:25, slack,-
1/30/17 9:36, ebb,-2.6
1/30/17 12:58, slack,-
1/30/17 14:39, flood,1.4
1/30/17 17:19, slack,-
1/30/17 21:12, ebb,-3.1
1/31/17 0:28, slack,-
1/31/17 3:09, flood,3.6
1/31/17 6:55, slack,-
