Date_Time (LST/LDT), Event, Speed (knots)
1/1/18 1:36, flood,1
1/1/18 4:42, slack,-
1/1/18 7:42, ebb,-0.5
1/1/18 11:18, slack,-
1/1/18 13:30, flood,0.5
1/1/18 15:30, slack,-
1/1/18 19:30, ebb,-0.9
1/1/18 23:30, slack,-
1/2/18 2:18, flood,1
1/2/18 5:18, slack,-
1/2/18 8:30, ebb,-0.6
1/2/18 12:00, slack,-
1/2/18 14:18, flood,0.6
1/2/18 16:18, slack,-
1/2/18 20:18, ebb,-0.9
1/3/18 0:12, slack,-
1/3/18 3:00, flood,1
1/3/18 5:48, slack,-
1/3/18 9:12, ebb,-0.6
1/3/18 12:48, slack,-
1/3/18 15:06, flood,0.6
1/3/18 17:06, slack,-
1/3/18 21:06, ebb,-0.8
1/4/18 0:54, slack,-
1/4/18 3:42, flood,1
1/4/18 6:24, slack,-
1/4/18 9:54, ebb,-0.7
1/4/18 13:30, slack,-
1/4/18 15:48, flood,0.6
1/4/18 17:54, slack,-
1/4/18 21:48, ebb,-0.8
1/5/18 1:30, slack,-
1/5/18 4:18, flood,0.9
1/5/18 7:00, slack,-
1/5/18 10:36, ebb,-0.7
1/5/18 14:18, slack,-
1/5/18 16:30, flood,0.5
1/5/18 18:36, slack,-
1/5/18 22:30, ebb,-0.7
1/6/18 2:12, slack,-
1/6/18 5:00, flood,0.8
1/6/18 7:48, slack,-
1/6/18 11:24, ebb,-0.7
1/6/18 15:12, slack,-
1/6/18 17:24, flood,0.4
1/6/18 19:24, slack,-
1/6/18 23:18, ebb,-0.6
1/7/18 2:48, slack,-
1/7/18 5:48, flood,0.7
1/7/18 8:30, slack,-
1/7/18 12:18, ebb,-0.6
1/7/18 16:12, slack,-
1/7/18 18:18, flood,0.3
1/7/18 20:18, slack,-
1/8/18 0:12, ebb,-0.5
1/8/18 3:36, slack,-
1/8/18 6:36, flood,0.6
1/8/18 9:24, slack,-
1/8/18 13:12, ebb,-0.6
1/8/18 17:18, slack,-
1/8/18 19:30, flood,0.3
1/8/18 21:24, slack,-
1/9/18 1:18, ebb,-0.5
1/9/18 4:30, slack,-
1/9/18 7:36, flood,0.5
1/9/18 10:12, slack,-
1/9/18 14:00, ebb,-0.7
1/9/18 18:24, slack,-
1/9/18 20:42, flood,0.3
1/9/18 22:48, slack,-
1/10/18 2:18, ebb,-0.4
1/10/18 5:36, slack,-
1/10/18 8:36, flood,0.4
1/10/18 10:54, slack,-
1/10/18 14:48, ebb,-0.7
1/10/18 19:18, slack,-
1/10/18 21:48, flood,0.4
1/11/18 0:30, slack,-
1/11/18 3:12, ebb,-0.4
1/11/18 6:48, slack,-
1/11/18 9:42, flood,0.3
1/11/18 11:42, slack,-
1/11/18 15:30, ebb,-0.7
1/11/18 20:06, slack,-
1/11/18 22:48, flood,0.5
